 FASTA header,location, IDR start, IDR end
sp|Q5PP12|AGP24_ARATH Arabinogalactan protein 24 OS=Arabidopsis thaliana OX=3702 GN=AGP24 PE=1 SV=1,IDP,1,69
sp|Q6XJG8|PSD2B_ARATH 26S proteasome non-ATPase regulatory subunit 2 homolog B OS=Arabidopsis thaliana OX=3702 GN=RPN1B PE=1 SV=1,N-terminal,1,42
sp|Q6XL73|DNJ39_ARATH Chaperone protein dnaJ 39 OS=Arabidopsis thaliana OX=3702 GN=ATJ39 PE=2 SV=2,C-terminal,361,414
sp|Q7XA66|ZOP1_ARATH Zinc finger protein ZOP1 OS=Arabidopsis thaliana OX=3702 GN=ZOP1 PE=1 SV=1,C-terminal,93,242
tr|Q84JH2|Q84JH2_ARATH Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=G3BP-LIKE PE=1 SV=1,middle,145,321
tr|Q84JH2|Q84JH2_ARATH Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=G3BP-LIKE PE=1 SV=1,C-terminal,394,458
tr|Q84K72|Q84K72_ARATH Forkhead-associated domain protein OS=Arabidopsis thaliana OX=3702 GN=At1g06510 PE=1 SV=1,middle,128,170
sp|Q8GUM2|HSP7I_ARATH Heat shock 70 kDa protein 9; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=HSP70-9 PE=1 SV=1,N-terminal,1,53
sp|Q8GUM2|HSP7I_ARATH Heat shock 70 kDa protein 9; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=HSP70-9 PE=1 SV=1,C-terminal,638,682
sp|Q8L9H6|CLE17_ARATH CLAVATA3/ESR (CLE)-related protein 17 OS=Arabidopsis thaliana OX=3702 GN=CLE17 PE=2 SV=1,IDP,1,99
tr|Q8LAF9|Q8LAF9_ARATH At5g20130 OS=Arabidopsis thaliana OX=3702 GN=At5g20130 PE=1 SV=1,N-terminal,1,113
tr|Q8LAF9|Q8LAF9_ARATH At5g20130 OS=Arabidopsis thaliana OX=3702 GN=At5g20130 PE=1 SV=1,C-terminal,153,202
tr|Q8RXJ5|Q8RXJ5_ARATH Chaperone DnaJ-domain superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g58020 PE=2 SV=1,N-terminal,1,51
tr|Q8RXJ5|Q8RXJ5_ARATH Chaperone DnaJ-domain superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g58020 PE=2 SV=1,middle,132,202
tr|Q8RXT2|Q8RXT2_ARATH Regulator of Vps4 activity in the MVB pathway protein OS=Arabidopsis thaliana OX=3702 GN=ISTL7 PE=1 SV=1,C-terminal,180,732
sp|Q8VZW1|NIP11_ARATH Aquaporin NIP1-1 OS=Arabidopsis thaliana OX=3702 GN=NIP1-1 PE=1 SV=1,N-terminal,1,40
sp|Q940Y9|POLL2_ARATH Putative ion channel POLLUX-like 2 OS=Arabidopsis thaliana OX=3702 GN=At5g43745 PE=2 SV=1,N-terminal,1,126
tr|Q949X1|Q949X1_ARATH Glutamyl-tRNA (Gln) amidotransferase subunit C OS=Arabidopsis thaliana OX=3702 GN=DFR1 PE=1 SV=1,N-terminal,1,196
sp|Q9ASQ2|MAMYB_ARATH Transcription factor MAMYB OS=Arabidopsis thaliana OX=3702 GN=MAMYB PE=1 SV=1,N-terminal,1,31
sp|Q9ASQ2|MAMYB_ARATH Transcription factor MAMYB OS=Arabidopsis thaliana OX=3702 GN=MAMYB PE=1 SV=1,middle,83,157
sp|Q9C5H4|MTV1_ARATH Protein MODIFIED TRANSPORT TO THE VACUOLE 1 OS=Arabidopsis thaliana OX=3702 GN=MTV1 PE=1 SV=1,middle,131,261
sp|Q9C5H4|MTV1_ARATH Protein MODIFIED TRANSPORT TO THE VACUOLE 1 OS=Arabidopsis thaliana OX=3702 GN=MTV1 PE=1 SV=1,C-terminal,366,690
tr|Q9C6G7|Q9C6G7_ARATH Cysteine/Histidine-rich C1 domain family protein OS=Arabidopsis thaliana OX=3702 GN=At1g55380 PE=4 SV=1,middle,100,163
tr|Q9CAA6|Q9CAA6_ARATH Uncharacterized protein T6L1.14 OS=Arabidopsis thaliana OX=3702 GN=ATDOA5 PE=4 SV=1,N-terminal,1,46
sp|Q9FVQ1|NUCL1_ARATH Nucleolin 1 OS=Arabidopsis thaliana OX=3702 GN=NUCL1 PE=1 SV=1,N-terminal,1,297
sp|Q9FVQ1|NUCL1_ARATH Nucleolin 1 OS=Arabidopsis thaliana OX=3702 GN=NUCL1 PE=1 SV=1,C-terminal,476,557
sp|Q9LDH1|SIB1_ARATH Sigma factor binding protein 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SIB1 PE=1 SV=1,IDP,1,151
sp|Q9LNP6|NFYA8_ARATH Nuclear transcription factor Y subunit A-8 OS=Arabidopsis thaliana OX=3702 GN=NFYA8 PE=1 SV=2,N-terminal,1,168
sp|Q9LNP6|NFYA8_ARATH Nuclear transcription factor Y subunit A-8 OS=Arabidopsis thaliana OX=3702 GN=NFYA8 PE=1 SV=2,C-terminal,213,328
sp|Q9LS03|AOC1_ARATH Allene oxide cyclase 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AOC1 PE=1 SV=1,N-terminal,1,82
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1,N-terminal,1,100
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1,middle,286,353
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1,middle,422,457
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1,middle,517,622
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1,C-terminal,1020,1095
sp|Q9LVR0|ATB53_ARATH Homeobox-leucine zipper protein ATHB-53 OS=Arabidopsis thaliana OX=3702 GN=ATHB-53 PE=2 SV=1,N-terminal,1,76
sp|Q9LVR0|ATB53_ARATH Homeobox-leucine zipper protein ATHB-53 OS=Arabidopsis thaliana OX=3702 GN=ATHB-53 PE=2 SV=1,C-terminal,175,228
sp|Q9LZ08|MOS11_ARATH Protein MODIFIER OF SNC1 11 OS=Arabidopsis thaliana OX=3702 GN=MOS11 PE=1 SV=1,IDP,1,214
sp|Q9M1G5|NDC80_ARATH Kinetochore protein NDC80 homolog OS=Arabidopsis thaliana OX=3702 GN=NDC80 PE=1 SV=1,N-terminal,1,62
sp|Q9S756|FRI4_ARATH Ferritin-4; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FER4 PE=2 SV=1,N-terminal,1,70
sp|Q9S7Z8|PIN3_ARATH Auxin efflux carrier component 3 OS=Arabidopsis thaliana OX=3702 GN=PIN3 PE=1 SV=1,middle,185,475
sp|Q9SCU5|WNK5_ARATH Probable serine/threonine-protein kinase WNK5 OS=Arabidopsis thaliana OX=3702 GN=WNK5 PE=1 SV=2,C-terminal,406,549
sp|Q9SH30|HMA5_ARATH Probable copper-transporting ATPase HMA5 OS=Arabidopsis thaliana OX=3702 GN=HMA5 PE=1 SV=2,N-terminal,1,47
tr|Q9SN99|Q9SN99_ARATH Uncharacterized protein F18L15.100 OS=Arabidopsis thaliana OX=3702 GN=F18L15.100 PE=4 SV=1,N-terminal,1,81
tr|Q9SVJ5|Q9SVJ5_ARATH Uncharacterized protein At4g38980 OS=Arabidopsis thaliana OX=3702 GN=At4g38980 PE=1 SV=1,IDP,1,280
tr|Q9SZH8|Q9SZH8_ARATH Uncharacterized protein AT4g26040 OS=Arabidopsis thaliana OX=3702 GN=At4g26040 PE=1 SV=1,N-terminal,1,50
tr|Q9SZR5|Q9SZR5_ARATH Ypt/Rab-GAP domain of gyp1p superfamily protein OS=Arabidopsis thaliana OX=3702 GN=F27B13.190 PE=1 SV=1,middle,434,765
sp|Q9XF89|CB5_ARATH Chlorophyll a-b binding protein CP26; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCB5 PE=1 SV=1,N-terminal,1,55
sp|Q9ZQI0|EPR1_ARATH Proline-rich extensin-like protein EPR1 OS=Arabidopsis thaliana OX=3702 GN=EPR1 PE=2 SV=1,IDP,1,761
sp|Q9ZVI9|PECT1_ARATH Ethanolamine-phosphate cytidylyltransferase OS=Arabidopsis thaliana OX=3702 GN=PECT1 PE=1 SV=1,N-terminal,1,52
sp|Q9ZVI9|PECT1_ARATH Ethanolamine-phosphate cytidylyltransferase OS=Arabidopsis thaliana OX=3702 GN=PECT1 PE=1 SV=1,middle,197,233
tr|A0A1I9LN10|A0A1I9LN10_ARATH Reverse transcriptase-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g43837 PE=4 SV=1,N-terminal,1,57
tr|A0A1P8B6J1|A0A1P8B6J1_ARATH Carboxyl-terminal peptidase OS=Arabidopsis thaliana OX=3702 GN=At4g23355 PE=1 SV=1,N-terminal,1,32
tr|A0A1P8BBR6|A0A1P8BBR6_ARATH Mutator transposase MUDRA protein OS=Arabidopsis thaliana OX=3702 GN=At5g15685 PE=1 SV=1,N-terminal,1,123
tr|A0A1P8BBR6|A0A1P8BBR6_ARATH Mutator transposase MUDRA protein OS=Arabidopsis thaliana OX=3702 GN=At5g15685 PE=1 SV=1,C-terminal,452,493
tr|A8MRC1|A8MRC1_ARATH Asparagine synthase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g03667 PE=1 SV=2,C-terminal,571,610
tr|B3H4D2|B3H4D2_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At3g03826 PE=4 SV=1,IDP,1,75
tr|F4HWT1|F4HWT1_ARATH Plant mobile domain protein OS=Arabidopsis thaliana OX=3702 GN=At1g48145 PE=4 SV=1,IDP,1,117
sp|F4HYR3|OSC14_ARATH Hyperosmolality-gated Ca2+ permeable channel 1.4 OS=Arabidopsis thaliana OX=3702 GN=OSCA1.4 PE=3 SV=2,C-terminal,716,778
tr|F4HZU9|F4HZU9_ARATH Calcium-binding EF-hand family protein OS=Arabidopsis thaliana OX=3702 GN=At1g29025 PE=1 SV=1,N-terminal,1,51
tr|F4I8M5|F4I8M5_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At1g78030 PE=4 SV=1,N-terminal,1,89
tr|F4IAF4|F4IAF4_ARATH DRBM domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g05950 PE=1 SV=1,middle,293,455
sp|F4IZC5|CAN1_ARATH Staphylococcal-like nuclease CAN1 OS=Arabidopsis thaliana OX=3702 GN=CAN1 PE=1 SV=1,N-terminal,1,34
sp|F4J424|RIC5_ARATH CRIB domain-containing protein RIC5 OS=Arabidopsis thaliana OX=3702 GN=RIC5 PE=1 SV=1,IDP,1,193
sp|F4JT98|SLK3_ARATH Probable transcriptional regulator SLK3 OS=Arabidopsis thaliana OX=3702 GN=SLK3 PE=3 SV=1,N-terminal,1,68
sp|F4JT98|SLK3_ARATH Probable transcriptional regulator SLK3 OS=Arabidopsis thaliana OX=3702 GN=SLK3 PE=3 SV=1,C-terminal,443,685
sp|F4K3X8|KN7L_ARATH Kinesin-like protein KIN-7L; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7L PE=3 SV=2,N-terminal,1,67
sp|F4K3X8|KN7L_ARATH Kinesin-like protein KIN-7L; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7L PE=3 SV=2,middle,468,613
sp|F4K3X8|KN7L_ARATH Kinesin-like protein KIN-7L; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7L PE=3 SV=2,middle,858,892
sp|F4K4T3|RLP56_ARATH Receptor-like protein 56 OS=Arabidopsis thaliana OX=3702 GN=RLP56 PE=2 SV=2,middle,869,899
tr|F4K6L4|F4K6L4_ARATH RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g07225 PE=4 SV=1,N-terminal,1,175
tr|F4K9W2|F4K9W2_ARATH Spectrin beta chain; brain OS=Arabidopsis thaliana OX=3702 GN=MWD9.25 PE=1 SV=1,N-terminal,1,585
tr|F4K9W2|F4K9W2_ARATH Spectrin beta chain; brain OS=Arabidopsis thaliana OX=3702 GN=MWD9.25 PE=1 SV=1,middle,639,826
tr|F4K9W2|F4K9W2_ARATH Spectrin beta chain; brain OS=Arabidopsis thaliana OX=3702 GN=MWD9.25 PE=1 SV=1,C-terminal,959,1154
tr|F4KG91|F4KG91_ARATH TBC1 domain family member 15 OS=Arabidopsis thaliana OX=3702 GN=At5g52580 PE=1 SV=1,N-terminal,1,41
tr|F4KG91|F4KG91_ARATH TBC1 domain family member 15 OS=Arabidopsis thaliana OX=3702 GN=At5g52580 PE=1 SV=1,middle,180,357
tr|F4KG91|F4KG91_ARATH TBC1 domain family member 15 OS=Arabidopsis thaliana OX=3702 GN=At5g52580 PE=1 SV=1,C-terminal,656,690
tr|O64855|O64855_ARATH At2g44200/F6E13.34 OS=Arabidopsis thaliana OX=3702 GN=At2g44200 PE=1 SV=1,C-terminal,75,493
sp|O82387|CDC6A_ARATH Cell division control protein 6 homolog OS=Arabidopsis thaliana OX=3702 GN=CDC6 PE=2 SV=2,N-terminal,1,107
sp|P34802|GGPP1_ARATH Heterodimeric geranylgeranyl pyrophosphate synthase large subunit 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GGPPS1 PE=1 SV=2,N-terminal,1,70
sp|P59277|SYP81_ARATH Syntaxin-81 OS=Arabidopsis thaliana OX=3702 GN=SYP81 PE=1 SV=2,middle,171,208
sp|P92517|M760_ARATH Uncharacterized mitochondrial protein AtMg00760 OS=Arabidopsis thaliana OX=3702 GN=At2g07685 PE=4 SV=1,IDP,1,109
sp|Q0WVN5|CSLG3_ARATH Cellulose synthase-like protein G3 OS=Arabidopsis thaliana OX=3702 GN=CSLG3 PE=2 SV=2,N-terminal,1,37
sp|Q3EA54|CSPLL_ARATH CASP-like protein 4A4 OS=Arabidopsis thaliana OX=3702 GN=At4g11655 PE=2 SV=1,N-terminal,1,48
tr|Q45GK4|Q45GK4_ARATH Transmembrane protein; putative (DUF247) OS=Arabidopsis thaliana OX=3702 GN=At3g50160 PE=2 SV=1,N-terminal,1,76
tr|Q67ZE4|Q67ZE4_ARATH TCP-1/cpn60 chaperonin family protein OS=Arabidopsis thaliana OX=3702 GN=At1g67760 PE=2 SV=1,IDP,1,120
sp|Q6NQ87|CRK22_ARATH Cysteine-rich receptor-like protein kinase 22 OS=Arabidopsis thaliana OX=3702 GN=CRK22 PE=2 SV=1,middle,262,338
tr|Q8H1N0|Q8H1N0_ARATH FK506-binding nuclear-like protein OS=Arabidopsis thaliana OX=3702 GN=At2g33400 PE=2 SV=1,IDP,1,272
sp|Q8L649|BB_ARATH E3 ubiquitin-protein ligase BIG BROTHER OS=Arabidopsis thaliana OX=3702 GN=BB PE=1 SV=1,N-terminal,1,147
tr|Q8L7U6|Q8L7U6_ARATH At1g16750/F19K19_26 OS=Arabidopsis thaliana OX=3702 GN=At1g16750 PE=1 SV=1,N-terminal,1,40
tr|Q8L7U6|Q8L7U6_ARATH At1g16750/F19K19_26 OS=Arabidopsis thaliana OX=3702 GN=At1g16750 PE=1 SV=1,middle,134,262
sp|Q8LFV1|Y4295_ARATH UPF0725 protein At4g29550 OS=Arabidopsis thaliana OX=3702 GN=At4g29550 PE=2 SV=1,N-terminal,1,85
sp|Q8LPJ1|CKL6_ARATH Casein kinase 1-like protein 6 OS=Arabidopsis thaliana OX=3702 GN=CKL6 PE=1 SV=1,C-terminal,298,479
sp|Q93W95|PMTD_ARATH Probable pectin methyltransferase QUA3 OS=Arabidopsis thaliana OX=3702 GN=QUA3 PE=2 SV=1,N-terminal,1,60
sp|Q9C5J3|RRC1_ARATH Protein RRC1 OS=Arabidopsis thaliana OX=3702 GN=RRC1 PE=1 SV=1,N-terminal,1,182
sp|Q9C5J3|RRC1_ARATH Protein RRC1 OS=Arabidopsis thaliana OX=3702 GN=RRC1 PE=1 SV=1,C-terminal,676,946
sp|Q9C5Z1|EIF3B_ARATH Eukaryotic translation initiation factor 3 subunit B OS=Arabidopsis thaliana OX=3702 GN=TIF3B1 PE=1 SV=1,C-terminal,682,712
sp|Q9C748|TPS28_ARATH Terpenoid synthase 28 OS=Arabidopsis thaliana OX=3702 GN=TPS28 PE=2 SV=1,N-terminal,1,67
sp|Q9FF86|DCR_ARATH BAHD acyltransferase DCR OS=Arabidopsis thaliana OX=3702 GN=DCR PE=2 SV=1,C-terminal,450,484
sp|Q9FG24|SRF2_ARATH Protein STRUBBELIG-RECEPTOR FAMILY 2 OS=Arabidopsis thaliana OX=3702 GN=SRF2 PE=1 SV=1,middle,268,393
sp|Q9FG24|SRF2_ARATH Protein STRUBBELIG-RECEPTOR FAMILY 2 OS=Arabidopsis thaliana OX=3702 GN=SRF2 PE=1 SV=1,C-terminal,700,735
sp|Q9FGQ9|FLZ1_ARATH FCS-Like Zinc finger 1 OS=Arabidopsis thaliana OX=3702 GN=FLZ1 PE=1 SV=1,N-terminal,1,87
sp|Q9FGQ9|FLZ1_ARATH FCS-Like Zinc finger 1 OS=Arabidopsis thaliana OX=3702 GN=FLZ1 PE=1 SV=1,C-terminal,143,177
tr|Q9FGX6|Q9FGX6_ARATH At5g49410 OS=Arabidopsis thaliana OX=3702 GN=At5g49410 PE=1 SV=1,N-terminal,1,31
tr|Q9FHG3|Q9FHG3_ARATH 16S rRNA processing protein RimM family OS=Arabidopsis thaliana OX=3702 GN=At5g46420 PE=1 SV=1,N-terminal,1,79
sp|Q9FHN4|PME60_ARATH Probable pectinesterase/pectinesterase inhibitor 60 OS=Arabidopsis thaliana OX=3702 GN=PME60 PE=2 SV=1,N-terminal,1,41
sp|Q9FI73|TDPC2_ARATH Mitochondrial thiamine diphosphate carrier 2 OS=Arabidopsis thaliana OX=3702 GN=At5g48970 PE=2 SV=1,N-terminal,1,34
tr|Q9FLJ3|Q9FLJ3_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At5g61412 PE=1 SV=1,IDP,1,77
sp|Q9FLQ4|ODO2A_ARATH Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 1; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At5g55070 PE=1 SV=1,N-terminal,1,57
sp|Q9FLQ4|ODO2A_ARATH Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 1; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At5g55070 PE=1 SV=1,middle,159,239
sp|Q9FQ20|SCC12_ARATH Sister chromatid cohesion 1 protein 2 OS=Arabidopsis thaliana OX=3702 GN=SYN2 PE=2 SV=2,N-terminal,1,728
sp|Q9FVQ5|OSC18_ARATH Hyperosmolality-gated Ca2+ permeable channel 1.8 OS=Arabidopsis thaliana OX=3702 GN=OSCA1.8 PE=1 SV=1,C-terminal,701,806
sp|Q9LDV4|ALAT2_ARATH Alanine aminotransferase 2; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ALAAT2 PE=1 SV=1,N-terminal,1,63
sp|Q9LEW3|AED1_ARATH Aspartyl protease AED1 OS=Arabidopsis thaliana OX=3702 GN=AED1 PE=2 SV=1,N-terminal,1,34
tr|Q9LIM3|Q9LIM3_ARATH Serine/arginine repetitive matrix protein OS=Arabidopsis thaliana OX=3702 GN=At3g15110/F4B12_2 PE=1 SV=1,C-terminal,42,339
sp|Q9LJG8|ASIL2_ARATH Trihelix transcription factor ASIL2 OS=Arabidopsis thaliana OX=3702 GN=ASIL2 PE=1 SV=1,N-terminal,1,82
sp|Q9LJG8|ASIL2_ARATH Trihelix transcription factor ASIL2 OS=Arabidopsis thaliana OX=3702 GN=ASIL2 PE=1 SV=1,middle,174,349
sp|Q9LJG8|ASIL2_ARATH Trihelix transcription factor ASIL2 OS=Arabidopsis thaliana OX=3702 GN=ASIL2 PE=1 SV=1,C-terminal,408,443
sp|Q9LQW4|CAP15_ARATH Putative clathrin assembly protein At1g14686 OS=Arabidopsis thaliana OX=3702 GN=At1g14686 PE=3 SV=1,C-terminal,283,339
tr|Q9LZC2|Q9LZC2_ARATH Emb|CAB85507.1 OS=Arabidopsis thaliana OX=3702 GN=F8F6_80 PE=1 SV=1,N-terminal,1,191
sp|Q9M0S8|DNMT2_ARATH DNA (cytosine-5)-methyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=MET2 PE=2 SV=1,N-terminal,1,81
sp|Q9M0S8|DNMT2_ARATH DNA (cytosine-5)-methyltransferase 2 OS=Arabidopsis thaliana OX=3702 GN=MET2 PE=2 SV=1,middle,629,683
tr|Q9M8K0|Q9M8K0_ARATH At3g06180 OS=Arabidopsis thaliana OX=3702 GN=At3g06180 PE=2 SV=1,N-terminal,1,47
sp|Q9MA93|GRDH2_ARATH Glucose and ribitol dehydrogenase homolog 2 OS=Arabidopsis thaliana OX=3702 GN=At3g05260 PE=2 SV=1,N-terminal,1,32
sp|Q9SAK0|PP132_ARATH Pentatricopeptide repeat-containing protein At1g79490; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=EMB2217 PE=2 SV=1,N-terminal,1,135
tr|Q9SJ65|Q9SJ65_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At2g35850 PE=4 SV=1,IDP,1,80
sp|Q9SJA6|RZ22A_ARATH Serine/arginine-rich splicing factor RSZ22A OS=Arabidopsis thaliana OX=3702 GN=RSZ22A PE=1 SV=1,C-terminal,64,196
sp|Q9SKP6|TPIC_ARATH Triosephosphate isomerase; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIM PE=1 SV=1,N-terminal,1,56
sp|Q9SRQ3|PE191_ARATH Peroxisome biogenesis protein 19-1 OS=Arabidopsis thaliana OX=3702 GN=PEX19-1 PE=1 SV=1,N-terminal,1,75
