IDR ID, asphericity, scaling_exponent,Normalized Rg (A),Normalized Re (A)
sp|Q6XJG8|PSD2B_ARATH 26S proteasome non-ATPase regulatory subunit 2 homolog B OS=Arabidopsis thaliana OX=3702 GN=RPN1B PE=1 SV=1_1_42,0.457,0.596,0.020457128425306215,0.03250368912936547
sp|Q6XL73|DNJ39_ARATH Chaperone protein dnaJ 39 OS=Arabidopsis thaliana OX=3702 GN=ATJ39 PE=2 SV=2_361_414,0.424,0.557,0.03140127120427663,0.044840137727496315
sp|Q7XA66|ZOP1_ARATH Zinc finger protein ZOP1 OS=Arabidopsis thaliana OX=3702 GN=ZOP1 PE=1 SV=1_93_242,0.431,0.535,0.09870774929494464,0.11012297097884899
tr|Q84JH2|Q84JH2_ARATH Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=G3BP-LIKE PE=1 SV=1_145_321,0.431,0.573,0.1312876204908027,0.15262174126906053
tr|Q84JH2|Q84JH2_ARATH Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=G3BP-LIKE PE=1 SV=1_394_458,0.378,0.509,0.029128256934798164,0.037520905066404334
tr|Q84K72|Q84K72_ARATH Forkhead-associated domain protein OS=Arabidopsis thaliana OX=3702 GN=At1g06510 PE=1 SV=1_128_170,0.469,0.568,0.02256177126741591,0.03456960157402854
sp|Q8GUM2|HSP7I_ARATH Heat shock 70 kDa protein 9; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=HSP70-9 PE=1 SV=1_1_53,0.427,0.544,0.02933872121900914,0.03982292179045745
sp|Q8GUM2|HSP7I_ARATH Heat shock 70 kDa protein 9; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=HSP70-9 PE=1 SV=1_638_682,0.447,0.573,0.018605042724249694,0.030496802754549933
sp|Q8L9H6|CLE17_ARATH CLAVATA3/ESR (CLE)-related protein 17 OS=Arabidopsis thaliana OX=3702 GN=CLE17 PE=2 SV=1_1_99,0.405,0.493,0.0556888496022225,0.06768322675848501
tr|Q8LAF9|Q8LAF9_ARATH At5g20130 OS=Arabidopsis thaliana OX=3702 GN=At5g20130 PE=1 SV=1_1_113,0.4,0.526,0.07248389948225786,0.07630103295622233
tr|Q8LAF9|Q8LAF9_ARATH At5g20130 OS=Arabidopsis thaliana OX=3702 GN=At5g20130 PE=1 SV=1_153_202,0.445,0.556,0.02571873553058045,0.03551401869158879
tr|Q8RXJ5|Q8RXJ5_ARATH Chaperone DnaJ-domain superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g58020 PE=2 SV=1_1_51,0.442,0.563,0.03220103548427832,0.04621741269060502
tr|Q8RXJ5|Q8RXJ5_ARATH Chaperone DnaJ-domain superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At3g58020 PE=2 SV=1_132_202,0.36,0.444,0.029633371216904496,0.03376291195277915
tr|Q8RXT2|Q8RXT2_ARATH Regulator of Vps4 activity in the MVB pathway protein OS=Arabidopsis thaliana OX=3702 GN=ISTL7 PE=1 SV=1_180_732,0.397,0.527,0.2538620196152713,0.29196261682242985
sp|Q8VZW1|NIP11_ARATH Aquaporin NIP1-1 OS=Arabidopsis thaliana OX=3702 GN=NIP1-1 PE=1 SV=1_1_40,0.45,0.552,0.016837142736877544,0.027211018199704874
sp|Q940Y9|POLL2_ARATH Putative ion channel POLLUX-like 2 OS=Arabidopsis thaliana OX=3702 GN=At5g43745 PE=2 SV=1_1_126,0.411,0.545,0.08742686366123667,0.1033546483030005
tr|Q949X1|Q949X1_ARATH Glutamyl-tRNA (Gln) amidotransferase subunit C OS=Arabidopsis thaliana OX=3702 GN=DFR1 PE=1 SV=1_1_196,0.379,0.517,0.10914677779180873,0.1252336448598131
sp|Q9ASQ2|MAMYB_ARATH Transcription factor MAMYB OS=Arabidopsis thaliana OX=3702 GN=MAMYB PE=1 SV=1_1_31,0.452,0.561,0.006271835669486882,0.015268076733890804
sp|Q9ASQ2|MAMYB_ARATH Transcription factor MAMYB OS=Arabidopsis thaliana OX=3702 GN=MAMYB PE=1 SV=1_83_157,0.419,0.548,0.05211095677063603,0.06532218396458436
sp|Q9C5H4|MTV1_ARATH Protein MODIFIED TRANSPORT TO THE VACUOLE 1 OS=Arabidopsis thaliana OX=3702 GN=MTV1 PE=1 SV=1_131_261,0.41,0.534,0.08149177084648736,0.09743236596163307
sp|Q9C5H4|MTV1_ARATH Protein MODIFIED TRANSPORT TO THE VACUOLE 1 OS=Arabidopsis thaliana OX=3702 GN=MTV1 PE=1 SV=1_366_690,0.419,0.552,0.1902597129267163,0.21127397934087558
tr|Q9C6G7|Q9C6G7_ARATH Cysteine/Histidine-rich C1 domain family protein OS=Arabidopsis thaliana OX=3702 GN=At1g55380 PE=4 SV=1_100_163,0.491,0.611,0.051269099633792135,0.0632562715199213
tr|Q9CAA6|Q9CAA6_ARATH Uncharacterized protein T6L1.14 OS=Arabidopsis thaliana OX=3702 GN=ATDOA5 PE=4 SV=1_1_46,0.428,0.548,0.023529906974786373,0.03266109198229219
sp|Q9FVQ1|NUCL1_ARATH Nucleolin 1 OS=Arabidopsis thaliana OX=3702 GN=NUCL1 PE=1 SV=1_1_297,0.426,0.572,0.19068064149513828,0.22443679291687163
sp|Q9FVQ1|NUCL1_ARATH Nucleolin 1 OS=Arabidopsis thaliana OX=3702 GN=NUCL1 PE=1 SV=1_476_557,0.412,0.529,0.04491307825062087,0.05607476635514019
sp|Q9LDH1|SIB1_ARATH Sigma factor binding protein 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=SIB1 PE=1 SV=1_1_151,0.392,0.517,0.10001262785705266,0.11122479094933596
sp|Q9LNP6|NFYA8_ARATH Nuclear transcription factor Y subunit A-8 OS=Arabidopsis thaliana OX=3702 GN=NFYA8 PE=1 SV=2_1_168,0.403,0.53,0.10304331354969061,0.1228922774225283
sp|Q9LNP6|NFYA8_ARATH Nuclear transcription factor Y subunit A-8 OS=Arabidopsis thaliana OX=3702 GN=NFYA8 PE=1 SV=2_213_328,0.402,0.511,0.06966367807383086,0.08147565174618793
sp|Q9LS03|AOC1_ARATH Allene oxide cyclase 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=AOC1 PE=1 SV=1_1_82,0.43,0.547,0.05623605674117101,0.07142154451549436
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1_1_100,0.386,0.508,0.05724628530538368,0.06898180029513036
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1_286_353,0.434,0.552,0.044828892536936484,0.05493359567142154
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1_422_457,0.455,0.572,0.015363892747400769,0.027112641416625685
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1_517_622,0.44,0.574,0.086627099381235,0.10557796360059028
tr|Q9LUZ5|Q9LUZ5_ARATH Gb|AAC80581.1 OS=Arabidopsis thaliana OX=3702 GN=MZN1.7 PE=1 SV=1_1020_1095,0.41,0.491,0.04731237109062592,0.05528775209050665
sp|Q9LVR0|ATB53_ARATH Homeobox-leucine zipper protein ATHB-53 OS=Arabidopsis thaliana OX=3702 GN=ATHB-53 PE=2 SV=1_1_76,0.406,0.531,0.046765163951677395,0.05884899163797344
sp|Q9LVR0|ATB53_ARATH Homeobox-leucine zipper protein ATHB-53 OS=Arabidopsis thaliana OX=3702 GN=ATHB-53 PE=2 SV=1_175_228,0.422,0.517,0.032369406911647094,0.04076733890801771
sp|Q9LZ08|MOS11_ARATH Protein MODIFIER OF SNC1 11 OS=Arabidopsis thaliana OX=3702 GN=MOS11 PE=1 SV=1_1_214,0.412,0.56,0.1381066632992381,0.1608066896212494
sp|Q9M1G5|NDC80_ARATH Kinetochore protein NDC80 homolog OS=Arabidopsis thaliana OX=3702 GN=NDC80 PE=1 SV=1_1_62,0.428,0.541,0.03830449972639643,0.04767338908017708
sp|Q9S756|FRI4_ARATH Ferritin-4; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=FER4 PE=2 SV=1_1_70,0.437,0.561,0.04567074967378036,0.06000983767830793
sp|Q9S7Z8|PIN3_ARATH Auxin efflux carrier component 3 OS=Arabidopsis thaliana OX=3702 GN=PIN3 PE=1 SV=1_185_475,0.416,0.519,0.1581849560129646,0.17798327594687655
sp|Q9SCU5|WNK5_ARATH Probable serine/threonine-protein kinase WNK5 OS=Arabidopsis thaliana OX=3702 GN=WNK5 PE=1 SV=2_406_549,0.389,0.503,0.08199688512859367,0.09457943925233646
sp|Q9SH30|HMA5_ARATH Probable copper-transporting ATPase HMA5 OS=Arabidopsis thaliana OX=3702 GN=HMA5 PE=1 SV=2_1_47,0.443,0.54,0.02416129982741929,0.03252336448598132
tr|Q9SN99|Q9SN99_ARATH Uncharacterized protein F18L15.100 OS=Arabidopsis thaliana OX=3702 GN=F18L15.100 PE=4 SV=1_1_81,0.427,0.55,0.05139537820431873,0.06337432365961634
tr|Q9SVJ5|Q9SVJ5_ARATH Uncharacterized protein At4g38980 OS=Arabidopsis thaliana OX=3702 GN=At4g38980 PE=1 SV=1_1_280,0.433,0.577,0.18891274150776613,0.21914412198721103
tr|Q9SZH8|Q9SZH8_ARATH Uncharacterized protein AT4g26040 OS=Arabidopsis thaliana OX=3702 GN=At4g26040 PE=1 SV=1_1_50,0.448,0.583,0.032411499768489276,0.04474176094441711
tr|Q9SZR5|Q9SZR5_ARATH Ypt/Rab-GAP domain of gyp1p superfamily protein OS=Arabidopsis thaliana OX=3702 GN=F27B13.190 PE=1 SV=1_434_765,0.414,0.54,0.19278528433724795,0.21229709788489914
sp|Q9XF89|CB5_ARATH Chlorophyll a-b binding protein CP26; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=LHCB5 PE=1 SV=1_1_55,0.453,0.577,0.03918844972008251,0.05154943433349729
sp|Q9ZQI0|EPR1_ARATH Proline-rich extensin-like protein EPR1 OS=Arabidopsis thaliana OX=3702 GN=EPR1 PE=2 SV=1_1_761,0.419,0.551,0.4298101612156417,0.4440334481062469
sp|Q9ZVI9|PECT1_ARATH Ethanolamine-phosphate cytidylyltransferase OS=Arabidopsis thaliana OX=3702 GN=PECT1 PE=1 SV=1_1_52,0.423,0.547,0.027107799806372856,0.038662075750122975
sp|Q9ZVI9|PECT1_ARATH Ethanolamine-phosphate cytidylyltransferase OS=Arabidopsis thaliana OX=3702 GN=PECT1 PE=1 SV=1_197_233,0.428,0.551,0.010649492781075048,0.017688145597638955
tr|A0A1I9LN10|A0A1I9LN10_ARATH Reverse transcriptase-like protein OS=Arabidopsis thaliana OX=3702 GN=At3g43837 PE=4 SV=1_1_57,0.448,0.516,0.04386075682956602,0.052848007870142655
tr|A0A1P8B6J1|A0A1P8B6J1_ARATH Carboxyl-terminal peptidase OS=Arabidopsis thaliana OX=3702 GN=At4g23355 PE=1 SV=1_1_32,0.451,0.582,0.008123921370543418,0.01934087555336941
tr|A0A1P8BBR6|A0A1P8BBR6_ARATH Mutator transposase MUDRA protein OS=Arabidopsis thaliana OX=3702 GN=At5g15685 PE=1 SV=1_1_123,0.463,0.55,0.09706612787809907,0.10896212493851452
tr|A0A1P8BBR6|A0A1P8BBR6_ARATH Mutator transposase MUDRA protein OS=Arabidopsis thaliana OX=3702 GN=At5g15685 PE=1 SV=1_452_493,0.446,0.527,0.01915224986319821,0.029650762420068873
tr|A8MRC1|A8MRC1_ARATH Asparagine synthase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g03667 PE=1 SV=2_571_610,0.429,0.562,0.01384854990108179,0.024259714707329075
tr|B3H4D2|B3H4D2_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At3g03826 PE=4 SV=1_1_75,0.427,0.55,0.05164793534537188,0.06577471716674867
tr|F4HWT1|F4HWT1_ARATH Plant mobile domain protein OS=Arabidopsis thaliana OX=3702 GN=At1g48145 PE=4 SV=1_1_117,0.421,0.544,0.07538830660436922,0.08971962616822432
sp|F4HYR3|OSC14_ARATH Hyperosmolality-gated Ca2+ permeable channel 1.4 OS=Arabidopsis thaliana OX=3702 GN=OSCA1.4 PE=3 SV=2_716_778,0.396,0.484,0.031906385486382964,0.04190850959173635
tr|F4HZU9|F4HZU9_ARATH Calcium-binding EF-hand family protein OS=Arabidopsis thaliana OX=3702 GN=At1g29025 PE=1 SV=1_1_51,0.44,0.552,0.027107799806372856,0.03817019183472701
tr|F4I8M5|F4I8M5_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At1g78030 PE=4 SV=1_1_89,0.387,0.517,0.05350002104642842,0.06809640924741761
tr|F4IAF4|F4IAF4_ARATH DRBM domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At1g05950 PE=1 SV=1_293_455,0.427,0.553,0.11217746348444668,0.13233644859813085
sp|F4IZC5|CAN1_ARATH Staphylococcal-like nuclease CAN1 OS=Arabidopsis thaliana OX=3702 GN=CAN1 PE=1 SV=1_1_34,0.436,0.577,0.008376478511596576,0.016783079193310388
sp|F4J424|RIC5_ARATH CRIB domain-containing protein RIC5 OS=Arabidopsis thaliana OX=3702 GN=RIC5 PE=1 SV=1_1_193,0.413,0.553,0.1313297133476449,0.15183472700442696
sp|F4JT98|SLK3_ARATH Probable transcriptional regulator SLK3 OS=Arabidopsis thaliana OX=3702 GN=SLK3 PE=3 SV=1_1_68,0.426,0.539,0.04508144967798964,0.05518937530742745
sp|F4JT98|SLK3_ARATH Probable transcriptional regulator SLK3 OS=Arabidopsis thaliana OX=3702 GN=SLK3 PE=3 SV=1_443_685,0.395,0.515,0.1326345919097529,0.14246925725528778
sp|F4K3X8|KN7L_ARATH Kinesin-like protein KIN-7L; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7L PE=3 SV=2_1_67,0.438,0.57,0.04781748537273224,0.06402361042793901
sp|F4K3X8|KN7L_ARATH Kinesin-like protein KIN-7L; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7L PE=3 SV=2_468_613,0.399,0.528,0.09247800648229995,0.10772257747171668
sp|F4K3X8|KN7L_ARATH Kinesin-like protein KIN-7L; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=KIN7L PE=3 SV=2_858_892,0.45,0.587,0.011533442774761125,0.02018691588785047
sp|F4K4T3|RLP56_ARATH Receptor-like protein 56 OS=Arabidopsis thaliana OX=3702 GN=RLP56 PE=2 SV=2_869_899,0.456,0.581,0.006945321378961984,0.018829316281357606
tr|F4K6L4|F4K6L4_ARATH RING/U-box superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At5g07225 PE=4 SV=1_1_175,0.34,0.405,0.07791387801490086,0.09324151500245942
tr|F4K9W2|F4K9W2_ARATH Spectrin beta chain; brain OS=Arabidopsis thaliana OX=3702 GN=MWD9.25 PE=1 SV=1_1_585,0.418,0.557,0.2934293050469336,0.3318052139695032
tr|F4K9W2|F4K9W2_ARATH Spectrin beta chain; brain OS=Arabidopsis thaliana OX=3702 GN=MWD9.25 PE=1 SV=1_639_826,0.408,0.523,0.10973607778759945,0.1271815051647811
tr|F4K9W2|F4K9W2_ARATH Spectrin beta chain; brain OS=Arabidopsis thaliana OX=3702 GN=MWD9.25 PE=1 SV=1_959_1154,0.399,0.543,0.12316369912025929,0.14347270044269553
tr|F4KG91|F4KG91_ARATH TBC1 domain family member 15 OS=Arabidopsis thaliana OX=3702 GN=At5g52580 PE=1 SV=1_1_41,0.437,0.552,0.014816685608452236,0.026187899655681256
tr|F4KG91|F4KG91_ARATH TBC1 domain family member 15 OS=Arabidopsis thaliana OX=3702 GN=At5g52580 PE=1 SV=1_180_357,0.387,0.523,0.10624237066969733,0.1263944909001476
tr|F4KG91|F4KG91_ARATH TBC1 domain family member 15 OS=Arabidopsis thaliana OX=3702 GN=At5g52580 PE=1 SV=1_656_690,0.503,0.592,0.02020457128425306,0.033152975897688154
tr|O64855|O64855_ARATH At2g44200/F6E13.34 OS=Arabidopsis thaliana OX=3702 GN=At2g44200 PE=1 SV=1_75_493,0.377,0.531,0.2049922128214842,0.22911952779144124
sp|O82387|CDC6A_ARATH Cell division control protein 6 homolog OS=Arabidopsis thaliana OX=3702 GN=CDC6 PE=2 SV=2_1_107,0.433,0.567,0.080986656564381,0.09845548450565668
sp|P34802|GGPP1_ARATH Heterodimeric geranylgeranyl pyrophosphate synthase large subunit 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=GGPPS1 PE=1 SV=2_1_70,0.441,0.549,0.04832259965483857,0.05766847024102312
sp|P59277|SYP81_ARATH Syntaxin-81 OS=Arabidopsis thaliana OX=3702 GN=SYP81 PE=1 SV=2_171_208,0.437,0.558,0.017300164162141675,0.028116084604033455
sp|P92517|M760_ARATH Uncharacterized mitochondrial protein AtMg00760 OS=Arabidopsis thaliana OX=3702 GN=At2g07685 PE=4 SV=1_1_109,0.408,0.525,0.06920065664856673,0.08153467781603543
sp|Q0WVN5|CSLG3_ARATH Cellulose synthase-like protein G3 OS=Arabidopsis thaliana OX=3702 GN=CSLG3 PE=2 SV=2_1_37,0.443,0.559,0.014185292755819335,0.02327594687653714
sp|Q3EA54|CSPLL_ARATH CASP-like protein 4A4 OS=Arabidopsis thaliana OX=3702 GN=At4g11655 PE=2 SV=1_1_48,0.446,0.56,0.027149892663215044,0.036969995081160854
tr|Q45GK4|Q45GK4_ARATH Transmembrane protein; putative (DUF247) OS=Arabidopsis thaliana OX=3702 GN=At3g50160 PE=2 SV=1_1_76,0.388,0.501,0.045797028244306946,0.054599114608952296
tr|Q67ZE4|Q67ZE4_ARATH TCP-1/cpn60 chaperonin family protein OS=Arabidopsis thaliana OX=3702 GN=At1g67760 PE=2 SV=1_1_120,0.425,0.558,0.08612198509912869,0.10142646335464832
sp|Q6NQ87|CRK22_ARATH Cysteine-rich receptor-like protein kinase 22 OS=Arabidopsis thaliana OX=3702 GN=CRK22 PE=2 SV=1_262_338,0.409,0.547,0.050679799638001434,0.06414166256763405
tr|Q8H1N0|Q8H1N0_ARATH FK506-binding nuclear-like protein OS=Arabidopsis thaliana OX=3702 GN=At2g33400 PE=2 SV=1_1_272,0.394,0.504,0.1328029633371217,0.1664535169699951
sp|Q8L649|BB_ARATH E3 ubiquitin-protein ligase BIG BROTHER OS=Arabidopsis thaliana OX=3702 GN=BB PE=1 SV=1_1_147,0.372,0.472,0.08208107084227807,0.09865223807181506
tr|Q8L7U6|Q8L7U6_ARATH At1g16750/F19K19_26 OS=Arabidopsis thaliana OX=3702 GN=At1g16750 PE=1 SV=1_1_40,0.452,0.568,0.017384349875826075,0.027250368912936557
tr|Q8L7U6|Q8L7U6_ARATH At1g16750/F19K19_26 OS=Arabidopsis thaliana OX=3702 GN=At1g16750 PE=1 SV=1_134_262,0.392,0.534,0.08490129225070503,0.09914412198721102
sp|Q8LFV1|Y4295_ARATH UPF0725 protein At4g29550 OS=Arabidopsis thaliana OX=3702 GN=At4g29550 PE=2 SV=1_1_85,0.433,0.548,0.06478090668013638,0.08249877029021152
sp|Q8LPJ1|CKL6_ARATH Casein kinase 1-like protein 6 OS=Arabidopsis thaliana OX=3702 GN=CKL6 PE=1 SV=1_298_479,0.421,0.548,0.11899650629288208,0.1372946384653222
sp|Q93W95|PMTD_ARATH Probable pectin methyltransferase QUA3 OS=Arabidopsis thaliana OX=3702 GN=QUA3 PE=2 SV=1_1_60,0.42,0.526,0.034431956896914584,0.045135268076733896
sp|Q9C5J3|RRC1_ARATH Protein RRC1 OS=Arabidopsis thaliana OX=3702 GN=RRC1 PE=1 SV=1_1_182,0.419,0.542,0.11790209201498505,0.1339891785538613
sp|Q9C5J3|RRC1_ARATH Protein RRC1 OS=Arabidopsis thaliana OX=3702 GN=RRC1 PE=1 SV=1_676_946,0.397,0.533,0.15700635602138316,0.17387112641416627
sp|Q9C5Z1|EIF3B_ARATH Eukaryotic translation initiation factor 3 subunit B OS=Arabidopsis thaliana OX=3702 GN=TIF3B1 PE=1 SV=1_682_712,0.515,0.609,0.012206928484236226,0.026345302508607976
sp|Q9C748|TPS28_ARATH Terpenoid synthase 28 OS=Arabidopsis thaliana OX=3702 GN=TPS28 PE=2 SV=1_1_67,0.442,0.562,0.04764911394536347,0.06209542547958682
